rela,analogy_0,analogy_1,analogy_2,analogy_3,guess_0,guess_1,guess_2,guess_3,guess_4,status
procedure_has_excised_anatomy,adenoids,adenoidectomy,adrenal-gland,adrenalectomy,intracutaneous,intracolonic,intradermal,force-feeding,intranasal,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,appendix,appendectomy,myotomy,lobectomy,appendectomy,amputation,discectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,bladder,cystectomy,tonsillectomy,pericardiocentesis,appendectomy,evisceration,cardioversion,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,breasts,mastectomy,hysterectomy,amputation,oophorectomy,lobectomy,cholecystectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,colon,colectomy,appendectomy,tonsillectomy,cardioversion,esophagectomy,pneumonectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,duodenum,duodenectomy,nephrectomy,hepatectomy,hysterectomy,intubation,lobectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,esophagus,esophagectomy,cholecystectomy,nephrectomy,lobectomy,hysterectomy,hepatectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,fallopian-tube,salpingectomy,intracervical,endovenous,tors,intravaginal,intra-articular,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,gallbladder,cholecystectomy,tonsillectomy,pleurodesis,myringotomy,arthrocentesis,appendicectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,gonads,orchiectomy,enucleation,amputation,transection,embolization,revascularization,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,kidney,nephrectomy,appendectomy,cardioversion,pneumonectomy,hysterectomy,esophagectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,larynx,laryngectomy,hysterectomy,cholecystectomy,appendectomy,mastectomy,lobectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,liver,hepatectomy,cardioversion,amputation,splenectomy,enucleation,hysterectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,lung,pneumonectomy,tonsillectomy,evisceration,ovariohysterectomy,retransplantation,appendectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,lymph-nodes,lymphadenectomy,tonsillectomy,arthrocentesis,apicoectomy,adenotonsillectomy,evisceration,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,mandible,mandibulectomy,lobectomy,discectomy,cholecystectomy,hysterectomy,colectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,maxilla,maxillectomy,discectomy,lobectomy,cholecystectomy,nephrectomy,hysterectomy,False
procedure_has_excised_anatomy,adenoids,adenoidectomy,ovaries,oophorectomy,embolization,transection,insemination,amputation,resection,False
