: procedure_has_excised_anatomy
adenoids adenoidectomy adrenal-gland adrenalectomy
adenoids adenoidectomy appendix appendectomy
adenoids adenoidectomy bladder cystectomy
adenoids adenoidectomy breasts mastectomy
adenoids adenoidectomy colon colectomy
adenoids adenoidectomy duodenum duodenectomy
adenoids adenoidectomy esophagus esophagectomy
adenoids adenoidectomy fallopian-tube salpingectomy
adenoids adenoidectomy gallbladder cholecystectomy
adenoids adenoidectomy gonads orchiectomy
adenoids adenoidectomy kidney nephrectomy
adenoids adenoidectomy larynx laryngectomy
adenoids adenoidectomy liver hepatectomy
adenoids adenoidectomy lung pneumonectomy
adenoids adenoidectomy lymph-nodes lymphadenectomy
adenoids adenoidectomy mandible mandibulectomy
adenoids adenoidectomy maxilla maxillectomy
adenoids adenoidectomy ovaries oophorectomy
adenoids adenoidectomy pancreas pancreatectomy
adenoids adenoidectomy penis penectomy
adenoids adenoidectomy pericardium pericardiectomy
adenoids adenoidectomy pharynx pharyngectomy
adenoids adenoidectomy hypophysis hypophysectomy
adenoids adenoidectomy prostate prostatectomy
adenoids adenoidectomy spleen splenectomy
adenoids adenoidectomy stomach gastrectomy
adenoids adenoidectomy thymus thymectomy
adenoids adenoidectomy thyroid thyroidectomy
adenoids adenoidectomy tongue glossectomy
adenoids adenoidectomy uterus hysterectomy
adenoids adenoidectomy vas-deferens vasectomy
adenoids adenoidectomy mastoid mastoidectomy
adenoids adenoidectomy tonsil tonsillectomy
adrenal-gland adrenalectomy appendix appendectomy
adrenal-gland adrenalectomy bladder cystectomy
adrenal-gland adrenalectomy breasts mastectomy
adrenal-gland adrenalectomy colon colectomy
adrenal-gland adrenalectomy duodenum duodenectomy
adrenal-gland adrenalectomy esophagus esophagectomy
adrenal-gland adrenalectomy fallopian-tube salpingectomy
adrenal-gland adrenalectomy gallbladder cholecystectomy
adrenal-gland adrenalectomy gonads orchiectomy
adrenal-gland adrenalectomy kidney nephrectomy
adrenal-gland adrenalectomy larynx laryngectomy
adrenal-gland adrenalectomy liver hepatectomy
adrenal-gland adrenalectomy lung pneumonectomy
adrenal-gland adrenalectomy lymph-nodes lymphadenectomy
adrenal-gland adrenalectomy mandible mandibulectomy
