word,x,y,cui,semantic_type,zone,sample
clethodim,0.330382514709,12.0398479776,C1099861,Organic Chemical,206.0,1.0
fumagillol,-11.2808711963,5.83207631214,C0165095,Pharmacologic Substance,89.0,1.0
spiders,12.901216265,2.28749640306,C0037913,Eukaryote,315.0,1.0
Prong,15.2082954022,-2.44670327184,C1709705,Medical Device,350.0,1.0
NDMA-ADH,-8.46444033465,0.408936830122,C0538183,"Amino Acid, Peptide, or Protein",105.0,1.0
111In-DOTA,-3.17284454863,-0.90125763071,C3849466,Organic Chemical,161.0,1.0
dimethyl-beta-cyclodextrin,0.689375276868,-0.750188283539,C0062552,Organic Chemical,199.0,1.0
box-jellyfish,5.38714728576,10.1921558304,C1096762,Eukaryote,243.0,1.0
277,7.16634950077,-1.35395799577,C1526917,Intellectual Product,256.0,1.0
Homeo-Domain,-15.0659863734,-5.36321088521,C0598306,Spatial Concept,45.0,1.0
Etisul,3.54618265249,3.35977879855,C3274168,Antibiotic,239.0,1.0
acetylputrescine,-6.94981679367,3.84076984598,C0067781,Organic Chemical,126.0,1.0
27s,5.66652873508,-0.490402654099,C1552141,"Body Part, Organ, or Organ Component",256.0,1.0
Loriinae,13.9732664237,6.38656379621,C2960731,Bird,336.0,1.0
Fibigia,8.2598158686,5.87824303194,C1915896,Plant,279.0,1.0
R-20458,11.5644370342,13.6240527965,C0139748,Organic Chemical,321.0,1.0
Feathers,13.3944524639,2.27891620506,C3486460,Immunologic Factor,334.0,1.0
Thylaeodus,7.14005277712,7.57760483923,C3008306,Eukaryote,261.0,1.0
cinnamedrine,-8.76521863511,9.25747332033,C0055752,Pharmacologic Substance,110.0,1.0
dnm,-2.66025267678,3.66941650472,C0011015,Organic Chemical,164.0,1.0
PECAP,-7.25473037754,1.15497173442,C0647349,"Amino Acid, Peptide, or Protein",124.0,1.0
DA10,-12.7579355376,9.26879137033,C0112201,Organic Chemical,72.0,1.0
Endotoxemia,-0.621590545505,-11.8602291474,C0376618,Finding,174.0,1.0
CRTAM,-5.30011276576,-7.92626280372,C1824797,Gene or Genome,138.0,1.0
antiplasmin,-4.69723607222,-3.70912703175,C0003410,Biologically Active Substance,140.0,1.0
coprophilia,11.8440826336,-10.5412176606,C0270500,Mental or Behavioral Dysfunction,308.0,1.0
L-Aspartate,-7.44825383968,3.12068854368,C0085845,"Amino Acid, Peptide, or Protein",125.0,1.0
MHV-JHM,8.36197997504,-0.138891813303,C0949334,Virus,275.0,1.0
titanium,3.61274015377,-3.53660032357,C0040302,"Element, Ion, or Isotope",236.0,1.0
Gastrostyla,8.78984970524,9.69169773587,C1045953,Eukaryote,281.0,1.0
4-DAMP,-9.7273468658,11.0981534357,C0048255,Organic Chemical,111.0,1.0
OSF-2,-13.6217776783,-7.86990670048,C0539345,"Amino Acid, Peptide, or Protein",43.0,1.0
OSF-1,-13.4712979499,-6.28642315376,C1527983,Biologically Active Substance,63.0,1.0
"4,4'-dimethylbiphenyl",-3.62988851326,5.73954267663,C0540287,Organic Chemical,165.0,1.0
adenofibromas,-0.98436157862,-16.8159648176,C0001422,Neoplastic Process,171.0,1.0
Cyrnellus,8.63470983238,9.46250677029,C1203511,Eukaryote,281.0,1.0
Retention,5.2035622815,-7.21247430851,C1318143,Clinical Attribute,234.0,1.0
"1,2-benzenedithiol",-3.12677077798,5.24848594763,C0531419,Organic Chemical,164.0,1.0
ZD4054,-9.83162998783,9.36402322537,C1328193,Pharmacologic Substance,91.0,1.0
folate,0.0323392844042,1.26439537055,C0178638,Pharmacologic Substance,200.0,1.0
TERT,-16.217652577,-9.45992132687,C1705316,Gene or Genome,23.0,1.0
Norbuprenorphine,-0.426758146564,7.57652617476,C0068965,Organic Chemical,185.0,1.0
Paraturbanella,7.44032690273,9.32838924137,C1465838,Eukaryote,281.0,1.0
alpha-acaridial,-1.01123440195,11.48312877,C1313455,Organic Chemical,187.0,1.0
P-Glycoproteins,-10.2343589603,-2.5235895195,C0069906,"Amino Acid, Peptide, or Protein",84.0,1.0
IgIV,-0.860258195573,-0.856157449243,C1527233,"Amino Acid, Peptide, or Protein",180.0,1.0
RMS2,-9.96841587061,-4.0928267873,C0206655,Neoplastic Process,83.0,1.0
SDK-12B-5,-2.91433190915,1.30622061099,C0074224,Organic Chemical,162.0,1.0
Captan,0.572024837759,11.2868005298,C0006937,Hazardous or Poisonous Substance,206.0,1.0
mineralocorticoids,-3.75931524344,-0.770781528521,C0026160,Pharmacologic Substance,161.0,1.0
Perionyx,14.0024221406,11.6368545035,C1253956,Eukaryote,339.0,1.0
URINE,-6.98970656533,17.4279970612,C0042037,Functional Concept,132.0,1.0
Histiocyte,11.91033425,-3.25580050267,C0019612,Cell,312.0,1.0
TER1,-9.75350054981,-5.05588181279,C1307911,Receptor,102.0,1.0
LANP,-5.57255425102,-2.12108155662,C1421894,Gene or Genome,141.0,1.0
microglial,-1.49491527214,-9.75952684505,C0521398,Body Location or Region,175.0,1.0
Chicago,7.36261313857,-4.07110642634,C0008044,Geographic Area,273.0,1.0
parietin,-2.38530166563,12.9730366739,C0070999,Organic Chemical,169.0,1.0
Chlorthalidone,0.613306534008,4.63755507389,C0008294,Pharmacologic Substance,202.0,1.0
Subphrenic,1.58961433262,-15.5890848758,C1550311,"Body Part, Organ, or Organ Component",191.0,1.0
IQM-622,-8.73820589163,5.89306139985,C3501594,Organic Chemical,108.0,1.0
Grifols,6.04669720022,-3.13995578936,C4038545,Health Care Related Organization,255.0,1.0
Perineometer,6.78533299916,-10.3037366709,C0491718,Medical Device,251.0,1.0
Oestradiol,-0.836942350618,1.08309965157,C0014912,Organic Chemical,181.0,1.0
B663,3.61423765323,8.42688948252,C0733652,"Indicator, Reagent, or Diagnostic Aid",242.0,1.0
immune-resistance,-3.99567956126,-8.99660961933,C1328910,Physiologic Function,157.0,1.0
Bile-Duct,3.62666442746,-12.476945395,C0005400,"Body Part, Organ, or Organ Component",231.0,1.0
