cui1,cui2,word1,word2,rela
C0001428,C0001425,adenoids,adenoidectomy,procedure_has_excised_anatomy
C0001625,C0001632,adrenal-gland,adrenalectomy,procedure_has_excised_anatomy
C0003617,C0003611,appendix,appendectomy,procedure_has_excised_anatomy
C0005682,C0010651,bladder,cystectomy,procedure_has_excised_anatomy
C0006141,C0024881,breasts,mastectomy,procedure_has_excised_anatomy
C0009368,C0009274,colon,colectomy,procedure_has_excised_anatomy
C0013303,C1536338,duodenum,duodenectomy,procedure_has_excised_anatomy
C0014876,C0085198,esophagus,esophagectomy,procedure_has_excised_anatomy
C0015560,C0041271,fallopian-tube,salpingectomy,procedure_has_excised_anatomy
C0016976,C0008320,gallbladder,cholecystectomy,procedure_has_excised_anatomy
C0018067,C0007344,gonads,orchiectomy,procedure_has_excised_anatomy
C0022646,C0027695,kidney,nephrectomy,procedure_has_excised_anatomy
C0023078,C0023065,larynx,laryngectomy,procedure_has_excised_anatomy
C0023884,C0019144,liver,hepatectomy,procedure_has_excised_anatomy
C0024109,C0032284,lung,pneumonectomy,procedure_has_excised_anatomy
C0024204,C0024203,lymph-nodes,lymphadenectomy,procedure_has_excised_anatomy
C0024687,C0185566,mandible,mandibulectomy,procedure_has_excised_anatomy
C0024947,C0407722,maxilla,maxillectomy,procedure_has_excised_anatomy
C0029939,C0029936,ovaries,oophorectomy,procedure_has_excised_anatomy
C0030274,C0030279,pancreas,pancreatectomy,procedure_has_excised_anatomy
C0030851,C0194708,penis,penectomy,procedure_has_excised_anatomy
C0031050,C0031042,pericardium,pericardiectomy,procedure_has_excised_anatomy
C0031354,C0031349,pharynx,pharyngectomy,procedure_has_excised_anatomy
C0032005,C0020632,hypophysis,hypophysectomy,procedure_has_excised_anatomy
C0033572,C0033573,prostate,prostatectomy,procedure_has_excised_anatomy
C0037993,C0037995,spleen,splenectomy,procedure_has_excised_anatomy
C0038351,C0017118,stomach,gastrectomy,procedure_has_excised_anatomy
C0040113,C0040071,thymus,thymectomy,procedure_has_excised_anatomy
C0040132,C0040145,thyroid,thyroidectomy,procedure_has_excised_anatomy
C0040408,C0017673,tongue,glossectomy,procedure_has_excised_anatomy
C0042149,C0020699,uterus,hysterectomy,procedure_has_excised_anatomy
C0042360,C0042387,vas-deferens,vasectomy,procedure_has_excised_anatomy
C0446908,C0198154,mastoid,mastoidectomy,procedure_has_excised_anatomy
C0836921,C0040423,tonsil,tonsillectomy,procedure_has_excised_anatomy
